strategy,year,signals,avg_return,total_return,wins,losses,holds,win_rate
UP55_NIKKEION_TESTA55,2026,39,3.8043808291120924,148.3708523353716,24,8,7,75.0
UP55_NIKKEION_TESTA65,2022,1,-1.5490847840886053,-1.5490847840886053,0,1,0,0.0
UP55_NIKKEION_TESTA65,2024,7,0.821142373259243,5.747996612814701,2,4,1,33.33333333333333
UP55_NIKKEION_TESTA65,2026,39,3.8043808291120924,148.3708523353716,24,8,7,75.0
UP55_NIKKEION_TESTA75,2022,1,-1.5490847840886053,-1.5490847840886053,0,1,0,0.0
UP55_NIKKEION_TESTA75,2024,2,1.5527117552204073,3.1054235104408145,0,1,1,0.0
UP55_NIKKEION_TESTA75,2026,39,3.8043808291120924,148.3708523353716,24,8,7,75.0
UP60_NIKKEIOFF_BASE,2020,75,-2.35347085532377,-176.51031414928275,7,63,5,10.0
UP60_NIKKEIOFF_BASE,2022,1,0.10475903382343274,0.10475903382343274,0,0,1,0.0
UP60_NIKKEIOFF_BASE,2024,40,3.3312469598434005,133.24987839373603,11,18,11,37.93103448275862
UP60_NIKKEIOFF_BASE,2025,30,-0.34514608949340964,-10.354382684802289,5,20,5,20.0
UP60_NIKKEIOFF_TESTA55,2020,3,-5.781165423349016,-17.343496270047048,0,3,0,0.0
UP60_NIKKEIOFF_TESTA55,2024,7,-1.9560741240159598,-13.69251886811172,1,6,0,14.285714285714285
UP60_NIKKEIOFF_TESTA55,2025,9,-4.551742340713882,-40.965681066424935,0,9,0,0.0
UP60_NIKKEIOFF_TESTA65,2020,2,-6.195368798841345,-12.39073759768269,0,2,0,0.0
UP60_NIKKEION_BASE,2022,1,0.10475903382343274,0.10475903382343274,0,0,1,0.0
UP60_NIKKEION_BASE,2024,40,3.3312469598434005,133.24987839373603,11,18,11,37.93103448275862
UP60_NIKKEION_TESTA55,2024,7,-1.9560741240159598,-13.69251886811172,1,6,0,14.285714285714285
UP65_NIKKEIOFF_BASE,2020,39,-4.948884684106334,-193.00650268014704,0,39,0,0.0
UP65_NIKKEIOFF_BASE,2024,22,-2.532781892657839,-55.721201638472465,1,18,3,5.263157894736842
UP65_NIKKEIOFF_BASE,2025,14,0.33296294101108054,4.661481174155128,4,10,0,28.57142857142857
UP65_NIKKEIOFF_TESTA55,2020,1,-4.952758672364359,-4.952758672364359,0,1,0,0.0
UP65_NIKKEIOFF_TESTA55,2025,3,-5.036812823730546,-15.110438471191639,0,3,0,0.0
UP65_NIKKEION_BASE,2024,22,-2.532781892657839,-55.721201638472465,1,18,3,5.263157894736842
