date,rows,valid_prob,up20,up25,up30,up35,up40,up42_5,up45,up50,up55,up60,mean_up,median_up,max_up
2026-03-24,93,93,93,93,29,0,0,0,0,0,0,0,29.176170493223253,29.2342163643102,33.31433325520626
2026-03-25,93,93,93,93,92,59,0,0,0,0,0,0,35.32879608979805,35.615273157232124,39.79236535836927
2026-03-26,93,93,93,93,88,20,0,0,0,0,0,0,33.53424280730889,33.6100533553365,39.54185196456566
2026-03-27,93,93,93,93,90,66,8,0,0,0,0,0,36.31145869581601,36.72080262876148,41.33572922636042
2026-03-30,93,93,93,93,63,3,0,0,0,0,0,0,31.257034547659153,30.94587258664037,36.3215816050832
2026-03-31,93,93,93,93,82,3,0,0,0,0,0,0,31.87220885440951,31.53054527203825,37.79493891536246
2026-04-01,93,93,93,93,93,42,1,0,0,0,0,0,35.03860037760824,34.91455041195762,40.49822223118122
2026-04-02,93,93,93,93,93,46,2,0,0,0,0,0,34.964301457269414,34.97515668038116,40.33478052546059
2026-04-06,93,93,93,93,87,43,3,0,0,0,0,0,34.24554458995325,34.75161866272939,41.15817036397615
2026-04-07,93,93,93,93,90,37,1,0,0,0,0,0,34.587266224937196,34.58396126382576,40.53850876769532
2026-04-08,93,93,93,93,92,31,0,0,0,0,0,0,34.10851815621205,34.14938020295344,38.301714106612216
2026-04-09,93,93,93,93,93,36,2,0,0,0,0,0,35.07165357785504,34.58828105297826,41.48961683865549
2026-04-10,93,93,93,93,93,59,9,0,0,0,0,0,36.08540455926773,35.731157884154804,42.319080824146944
2026-04-13,93,93,93,93,93,79,11,1,0,0,0,0,37.21407470216733,36.86317125156072,44.44520862357322
2026-04-14,93,93,93,93,91,20,0,0,0,0,0,0,33.527670784185965,32.982216912357494,39.432044251278576
2026-04-15,93,93,93,93,91,40,4,0,0,0,0,0,34.45210221509001,34.113362069071954,40.97169374700104
2026-04-16,93,93,93,90,29,4,0,0,0,0,0,0,28.966956088115463,28.852658913837587,38.25777203543861
2026-04-17,92,92,92,88,34,4,0,0,0,0,0,0,29.551773621263752,29.216960604357965,37.99843820838169
2026-04-20,92,92,92,86,42,8,0,0,0,0,0,0,29.801639272204532,29.49840650027008,39.51503113336868
2026-04-21,92,92,92,92,84,21,3,0,0,0,0,0,33.218162910487415,32.66702755684173,40.88942427772703
2026-04-22,92,92,92,92,80,18,2,0,0,0,0,0,32.786357833467505,32.12652569794621,41.5608369650243
2026-04-23,92,92,92,92,40,9,0,0,0,0,0,0,30.212150134784352,29.592247106824438,39.72636295953282
2026-04-24,92,92,5,4,0,0,0,0,0,0,0,0,15.943745333847449,15.477250491622438,29.16409889664132
2026-04-27,92,92,17,9,4,1,0,0,0,0,0,0,17.783213389751506,16.367708702749823,37.92501911247796
2026-04-28,92,92,7,6,3,1,0,0,0,0,0,0,16.520025974730157,15.337865571412376,35.43744871165365
2026-04-30,92,92,37,7,4,1,0,0,0,0,0,0,19.839095517369238,19.201023021590913,35.94757734981721
2026-05-01,92,92,31,7,4,2,0,0,0,0,0,0,20.198638515699034,19.23899700766544,36.66147622712842
2026-05-07,92,92,17,8,3,1,0,0,0,0,0,0,17.662968249602486,15.802043316457473,38.08210605559446
2026-05-08,92,92,10,6,3,0,0,0,0,0,0,0,16.263580011605708,15.129261820685915,33.94220992737375
2026-05-11,92,92,13,9,6,2,0,0,0,0,0,0,17.892205199764145,16.074958385227966,39.40972942173771
2026-05-12,92,92,10,3,2,1,0,0,0,0,0,0,16.145365079655786,15.251088202094122,37.37439773794163
2026-05-13,92,92,9,4,2,1,0,0,0,0,0,0,15.816810954284927,14.894982160130407,36.77058063709664
2026-05-14,92,92,18,5,3,1,0,0,0,0,0,0,18.48561016971737,17.485823666976902,36.55803744459893
2026-05-15,92,92,31,5,2,1,0,0,0,0,0,0,19.453064607062974,19.084270230326933,36.655040729557165
2026-05-18,92,92,34,3,0,0,0,0,0,0,0,0,19.24970105336823,19.38448562218708,27.11168953419188
2026-05-19,93,93,76,11,1,0,0,0,0,0,0,0,22.241317540443056,21.966964732813484,31.960679839865136
2026-05-20,93,93,52,0,0,0,0,0,0,0,0,0,20.16457654964556,20.429815507296198,24.498790755357025
2026-05-21,93,93,93,34,7,2,0,0,0,0,0,0,24.778325624965557,24.229918752900016,35.82611930566541
2026-05-22,93,93,69,17,6,3,0,0,0,0,0,0,22.592084624846592,21.49034807041128,38.21825924294105
2026-05-26,93,93,15,7,3,0,0,0,0,0,0,0,17.565750942676917,16.00961763304577,34.436906659525505
2026-05-27,93,93,13,7,3,2,1,0,0,0,0,0,16.594742710530543,14.875021284857729,40.42758318125222
2026-05-28,93,93,10,7,4,2,1,1,0,0,0,0,16.532337273232134,15.343346862747165,42.93676060354245
2026-05-29,93,93,14,9,5,2,0,0,0,0,0,0,17.360764184219843,16.036590816491035,38.68739811195281
2026-06-01,93,93,12,9,6,2,1,0,0,0,0,0,17.147827440812343,15.561083459628785,41.11809833465759
